Date,Class Material,Problems,Solutions
10/4,第1回：概要[[PDF]](./material/slide_01.pdf) [[Code]](source_code.html),[Problems 1](problems.html#1-basics),[Solutions 1](solutions.html#1-basics)
10/11,第2回：変数とデータ型[[PDF]](./material/slide_02.pdf) [[Code]](source_code.html),[Problems 2](problems.html#2-variables-and-data-types),[Solutions 2](solutions.html#2-variables-and-data-types)
10/18,第3回：演算子[[PDF]](./material/slide_03.pdf) [[Code]](source_code.html),[Problems 3](problems.html#3-operators),[Solutions 3](solutions.html#3-operators)
10/25,第4回：制御文の基礎[[PDF]](./material/slide_04.pdf) [[Code]](source_code.html#4-basics-of-control-statements),[Problems 4](problems.html#4-basics-of-control-statements),[Solutions 4](solutions.html#4-basics-of-control-statements)
11/1,第5回：制御文とアルゴリズム[[PDF]](./material/slide_05.pdf) [[Code]](source_code.html),[Problems 5](problems.html#5-control-statements-and-algorithms),[Solutions 5](solutions.html#5-control-statements-and-algorithms)
11/8,第6回：配列と文字列[[PDF]](./material/slide_06.pdf) [[Code]](source_code.html),[Problems 6](problems.html#6-arrays-and-strings),[Solutions 6](solutions.html#5-control-statements-and-algorithms)
11/15,第7回：コンソール入出力[[PDF]](./material/slide_07.pdf) [[Code]](source_code.html),[Problems 7](problems.html#7-console-inputoutput),[Solutions 7](solutions.html#6-arrays-and-strings)
